segment_id,label
0,Other
1,Other
2,Other
3,Other
4,Other
5,Other
6,Other
7,Other
8,Other
9,Other
10,Other
11,Other
12,Other
13,Other
14,Other
15,Other
16,Other
17,Other
18,Other
19,Other
20,Other
21,Other
22,Other
23,Other
24,Other
25,Other
26,Other
27,Other
28,Other
29,Other
30,Other
31,Other
32,Other
33,Other
34,Other
35,Other
36,Other
37,Other
38,Other
39,Other
40,Other
41,Other
42,Other
43,Other
44,Other
45,Other
46,Other
47,Other
48,Other
49,Other
50,Other
51,Other
52,Other
53,Other
54,Other
55,Other
56,Other
57,Other
58,Other
59,Other
60,Other
61,Other
62,Other
63,Other
64,Other
65,Other
66,Other
67,Other
68,Other
69,Other
70,Other
71,Other
72,Other
73,Other
74,Other
75,Other
76,Other
77,Other
78,Other
79,Other
80,Other
81,Other
82,Other
83,Other
84,Other
85,Other
86,Other
87,Other
88,Other
89,Other
90,Other
91,Other
92,Other
93,Other
94,Other
95,Other
96,Other
97,Other
98,Other
99,Other
100,Other
101,Other
102,Other
103,Other
104,Other
105,Other
106,Other
107,Other
108,Other
109,Other
110,Other
111,Other
112,Other
113,Other
114,Other
115,Other
116,Other
117,Other
118,Other
119,Other
120,Other
121,Other
122,Other
123,Other
124,Other
125,Other
126,Other
127,Other
128,Other
129,Other
130,Other
131,Other
132,Other
133,Other
134,Other
135,Other
136,Other
137,Other
138,Other
139,Other
140,Other
141,Other
142,Other
143,Other
144,Other
145,Other
146,Other
147,Other
148,Other
149,Other
150,Other
151,Other
152,Other
153,Other
154,Other
155,Other
156,Other
157,Other
158,Other
159,Other
160,Other
161,Other
162,Other
163,Other
164,Other
165,Other
166,Other
167,Other
168,Other
169,Other
170,Other
171,Other
172,Other
173,Other
174,Other
175,Other
176,Other
177,Other
178,Other
179,Other
180,Other
181,Other
182,Other
183,Other
184,Other
185,Other
186,Other
187,Other
188,Other
189,Other
190,Other
191,Other
192,Other
193,Other
194,Other
195,Other
196,Other
197,Other
198,Other
199,Other
200,Other
201,Other
202,Other
203,Other
204,Other
205,Other
206,Other
207,Other
208,Other
209,Other
210,Other
211,Other
212,Other
213,Other
214,Other
215,Other
216,Other
217,Other
218,Other
219,Other
220,Other
221,Other
222,Other
223,Other
224,Other
225,Other
226,Other
227,Other
228,Other
229,Other
230,Other
231,Other
232,Other
233,Other
234,Other
235,Other
236,Other
237,Other
238,Other
239,Other
240,Other
241,Other
242,Other
243,Other
244,Other
245,Other
246,Other
247,Other
248,Other
249,Other
250,Other
251,Other
252,Other
253,Other
254,Other
255,Other
256,Other
257,Other
258,Other
259,Other
260,Other
261,Other
262,Other
263,Other
264,Other
265,Other
266,Other
267,Other
268,Other
269,Other
270,Other
271,Other
272,Other
273,Other
274,Other
275,Other
276,Other
277,Other
278,Other
279,Other
280,Other
281,Other
282,Other
283,Other
284,Other
285,Other
286,Other
287,Other
288,Other
289,Other
290,Other
291,Other
292,Other
293,Other
294,Other
295,Other
296,Other
297,Other
298,Other
299,Other
300,Other
301,Other
302,Other
303,Other
304,Other
305,Other
306,Other
307,Other
308,Turnout
309,Turnout
310,Turnout
311,Turnout
312,Turnout
313,Turnout
314,Turnout
315,Turnout
316,Turnout
317,Turnout
318,Turnout
319,Turnout
320,Turnout
321,Other
322,Other
323,Other
324,Other
325,Other
326,Other
327,Other
328,Other
329,Other
330,Other
331,Other
332,Other
333,Other
334,Other
335,Other
336,Other
337,Other
338,Other
339,Other
340,Other
341,Other
342,Other
343,Other
344,Other
345,Other
346,Other
347,Other
348,Other
349,Other
350,Other
351,Other
352,Other
353,Other
354,Other
355,Other
356,Other
357,Other
358,Other
359,Other
360,Other
361,Other
362,Other
363,Other
364,Other
365,Other
366,Other
367,Other
368,Other
369,Other
370,Other
371,Other
372,Other
373,Other
374,Other
375,Other
376,Other
377,Other
378,Other
379,Other
380,Other
381,Other
382,Other
383,Other
384,Other
385,Other
386,Other
387,Other
388,Other
389,Other
390,Other
391,Other
392,Other
393,Other
394,Other
395,Other
396,Other
397,Other
398,Other
399,Other
400,Other
401,Other
402,Other
403,Other
404,Other
405,Other
406,Other
407,Other
408,Other
409,Other
410,Other
411,Other
412,Other
413,Other
414,Other
415,Other
416,Other
417,Other
418,Other
419,Other
420,Other
421,Other
422,Other
423,Other
424,Other
425,Other
426,Other
427,Other
428,Other
429,Other
430,Other
431,Other
432,Other
433,Other
434,Turnout
435,Turnout
436,Turnout
437,Turnout
438,Turnout
439,Turnout
440,Turnout
441,Turnout
442,Turnout
443,Turnout
444,Turnout
445,Turnout
446,Turnout
447,Other
448,Other
449,Other
450,Other
451,Other
452,Other
453,Other
454,Other
455,Other
